SLIMME	SLIMME	np	name	mwp	SLIMME									no	0
MENSEN	MENSEN	np	name	mwp	MENSEN									no	0
Er	Er	np	name	mwp	Er									no	0
was	ben	smain	verb	hd	ben						unacc	past(sg)	copula	no	0
eens	eens	advp	adv	mod	eens		tmp							no	0
een	een	detp	det	det	een									no	0
stad	stad	np	noun	hd	stad			both	count	sg				no	0
,	,	punct	punct	--	,		komma							no	0
waar	waar	advp	adv	rhd	waar		er_loc							no	0
heel	heel	advp	adv	mod	heel		intensifier							no	0
veel	veel	ap	adj	hd	veel									no	0
domme	dom	ap	adj	mod	dom									no	0
mensen	mens	np	noun	hd	mens			both	count	pl				yes	mensen-4
woonden	woon	ssub	verb	hd	woon						hebben	past(pl)	ld_adv	no	0
.	.	punct	punct	--	.		punt							no	0
Eens	eens	advp	adv	mod	eens		tmp							no	0
waren	ben	smain	verb	hd	ben-van						unacc	past(pl)	pc_pp(van)	no	0
er	er	advp	adv	obj1	er		er							no	0
negen	negen	np	num	su	negen		hoofd							yes	mensen-4
van	van	pp	prep	hd	van									no	0
die	die	detp	det	det	die									no	0
stommelingen	stommeling	np	noun	hd	stommeling			de	count	pl				yes	mensen-4
wezen	ben	inf	verb	hd	ben						zijn	inf_ipp	aux_simple(inf)	no	0
jagen	jaag	inf	verb	hd	jaag						hebben	inf	transitive	no	0
en	en	--	vg	--	en									no	0
toen	toen	cp	comp	cmp	toen									no	0
ze	ze	np	pron	su	ze		wkpro							yes	mensen-4
terug	terug	advp	adv	mod	terug		loc							no	0
naar	naar	pp	prep	hd	naar									no	0
hun	hun	detp	det	det	hun									yes	mensen-4
stad	stad	np	noun	hd	stad			both	count	sg				no	0
gingen	ga	ssub	verb	hd	ga						zijn	past(pl)	ld_pp	no	0
,	,	punct	punct	--	,		komma							no	0
dachten	denk	smain	verb	hd	denk						hebben	past(pl)	tr_sbar	no	0
ze	ze	np	pron	su	ze		wkpro							yes	mensen-4
opeens	opeens	advp	adv	mod	opeens		sentence							no	0
dat	dat	cp	comp	cmp	dat									no	0
ze	ze	np	pron	su	ze		wkpro							yes	mensen-4
er	er	advp	adv	mod	er		er							no	0
een	één	np	pron	obj1	één		strpro							yes	mensen-0
onderweg	onderweg	ap	adj	mod	onderweg									no	0
verloren	verlies	ppart	verb	hd	verlies						'hebben/zijn'	psp	transitive	no	0
waren	ben	ssub	verb	hd	ben						unacc	past(pl)	aux_psp_zijn	no	0
.	.	--	punct	--	.		punt							no	0
"	"	punct	punct	--	"		aanhaal_both							no	0
Wacht	wacht	sv1	verb	nucl	wacht						hebben	sg	intransitive	no	0
'	'	punct	punct	--	'		aanhaal_both							no	0
s	s	advp	tag	tag	s									no	0
,	,	punct	punct	--	,		komma							no	0
"	"	punct	punct	--	"		aanhaal_both							no	0
zei	zeg	sv1	verb	hd	zeg						hebben	past(sg)	tr_sbar	no	0
er	er	advp	adv	mod	er		er							no	0
een	één	np	pron	su	één		strpro							yes	mensen-1
,	,	punct	punct	--	,		komma							no	0
"	"	--	punct	--	"		aanhaal_both							no	0
we	we	np	pron	su	we		wkpro							yes	mensen-4
zullen	zal	smain	verb	hd	zal						hebben	pl	aux(inf)	no	0
elkaar	elkaar	np	pron	obj1	elkaar									no	0
tellen	tel	inf	verb	hd	tel						hebben	inf	transitive	no	0
,	,	punct	punct	--	,		komma							no	0
dat	dat	np	det	su	dat									no	0
is	ben	smain	verb	hd	ben						unacc	sg_heeft	copula	no	0
het	het	ap	adj	mwp	het									no	0
veiligste	veiligste	ap	adj	mwp	veiligste									no	0
,	,	punct	punct	--	,		komma							no	0
dan	dan	advp	adv	mod	dan		tmp							no	0
weten	weet	smain	verb	hd	weet						hebben	pl	tr_sbar	no	0
we	we	np	pron	su	we		wkpro							yes	mensen-4
ineens	ineens	advp	adv	mod	ineens									no	0
of	of	cp	comp	cmp	of									no	0
een	één	np	pron	hd	één		strpro							yes	mensen-0
van	van	pp	prep	hd	van									no	0
ons	ons	np	pron	obj1	ons									yes	mensen-4
verdwaald	verdwaal	ppart	verb	hd	verdwaal						unacc	psp	ld_pp	no	0
is	ben	ssub	verb	hd	ben						unacc	sg_heeft	aux_psp_zijn	no	0
in	in	pp	prep	hd	in									no	0
het	het	detp	det	det	het									no	0
bos	bos	np	noun	hd	bos			het	count	sg				no	0
.	.	punct	punct	--	.		punt							no	0
"	"	--	punct	--	"		aanhaal_both							no	0
Dat	dat	np	det	su	dat									no	0
was	ben	smain	verb	hd	ben						unacc	past(sg)	copula	no	0
goed	goed	ap	adj	predc	goed									no	0
en	en	vg	vg	crd	en									no	0
die	die	detp	det	det	die									no	0
ene	ene	np	adj	hd	ene									yes	mensen-1
begon	begin	smain	verb	hd	begin						zijn	past(sg)	aux(te_inf)	no	0
te	te	cp	comp	cmp	te									no	0
tellen	tel	inf	verb	hd	tel						hebben	inf	intransitive	no	0
,	,	punct	punct	--	,		komma							no	0
maar	maar	vg	vg	crd	maar									no	0
daarbij	daarbij	pp	pp	mod	daarbij		er							no	0
vergat	vergeet	smain	verb	hd	vergeet						'hebben/zijn'	past(sg)	vp	no	0
hij	hij	np	pron	su	hij									yes	mensen-1
zichzelf	zichzelf	np	pron	obj1	zichzelf									yes	mensen-1
mee	mee	part	part	svp	mee									no	0
te	te	cp	comp	cmp	te									no	0
tellen	tel_mee	inf	verb	hd	tel_mee						hebben	inf	part_transitive(mee)	no	0
.	.	punct	punct	--	.		punt							no	0
"	"	punct	punct	--	"		aanhaal_both							no	0
Zie	zie	sv1	verb	hd	zie						hebben	sg1	intransitive	no	0
je	je	np	pron	su	je		wkpro							no	0
wel	wel	ap	adj	mod	wel									no	0
,	,	punct	punct	--	,		komma							no	0
"	"	punct	punct	--	"		aanhaal_both							no	0
zei	zeg	sv1	verb	hd	zeg						hebben	past(sg)	tr_sbar	no	0
hij	hij	np	pron	su	hij									yes	mensen-1
toen	toen	advp	adv	mod	toen		tmp							no	0
